Direction	Timestamp
	
	
	
1	0
	
	
	
1	0.000106
	
	
	
1	0.000296
	
	
	
1	0.000359
	
	
	
1	0.000534
	
	
	
1	0.000632
	
	
	
	
	
	
-1	1.351945
	
	
	
-1	1.351945
	
	
	
-1	1.351946
	
	
	
-1	1.351946
	
	
	
-1	1.351946
	
	
	
-1	1.351946
	
	
	
-1	1.351946
	
	
	
-1	1.351947
	
	
	
-1	1.351947
	
	
	
-1	1.351947
	
	
	
-1	1.351947
	
	
	
-1	1.351948
	
	
	
-1	1.351948
	
	
	
-1	1.351948
	
	
	
-1	1.351948
	
	
	
-1	1.351948
	
	
	
-1	1.351949
	
	
	
-1	1.351949
	
	
	
-1	1.351949
	
	
	
-1	1.351953
	
	
	
-1	1.351953
	
	
	
-1	1.351954
	
	
	
-1	1.351954
	
	
	
-1	1.351954
	
	
	
-1	1.351954
	
	
	
-1	1.351954
	
	
	
-1	1.351955
	
	
	
-1	1.351955
	
	
	
-1	1.351955
	
	
	
1	1.352502
	
	
	
-1	1.352613
	
	
	
-1	1.352614
	
	
	
-1	1.352614
	
	
	
-1	1.352614
	
	
	
-1	1.352614
	
	
	
-1	1.352615
	
	
	
-1	1.352615
	
	
	
1	1.352798
	
	
	
-1	1.355488
	
	
	
-1	1.355488
	
	
	
-1	1.355489
	
	
	
-1	1.355489
	
	
	
-1	1.355489
	
	
	
-1	1.355489
	
	
	
-1	1.355489
	
	
	
-1	1.35549
	
	
	
-1	1.35549
	
	
	
-1	1.35549
	
	
	
-1	1.355491
	
	
	
-1	1.355491
	
	
	
-1	1.355491
	
	
	
-1	1.355491
	
	
	
-1	1.355491
	
	
	
-1	1.355491
	
	
	
-1	1.355491
	
	
	
-1	1.355492
	
	
	
-1	1.355492
	
	
	
-1	1.355492
	
	
	
-1	1.355492
	
	
	
-1	1.355492
	
	
	
-1	1.355493
	
	
	
-1	1.355494
	
	
	
1	1.356063
	
	
	
-1	1.362878
	
	
	
-1	1.362878
	
	
	
-1	1.362878
	
	
	
-1	1.362878
	
	
	
-1	1.362879
	
	
	
-1	1.362879
	
	
	
-1	1.362879
	
	
	
-1	1.362879
	
	
	
-1	1.362879
	
	
	
-1	1.36288
	
	
	
-1	1.36288
	
	
	
-1	1.36288
	
	
	
-1	1.36288
	
	
	
-1	1.362881
	
	
	
-1	1.362881
	
	
	
-1	1.362881
	
	
	
-1	1.362881
	
	
	
-1	1.362881
	
	
	
-1	1.362882
	
	
	
-1	1.362882
	
	
	
-1	1.362882
	
	
	
-1	1.362882
	
	
	
-1	1.362882
	
	
	
-1	1.362883
	
	
	
-1	1.362883
	
	
	
-1	1.362883
	
	
	
-1	1.362883
	
	
	
-1	1.362883
	
	
	
-1	1.362883
	
	
	
-1	1.362883
	
	
	
-1	1.362885
	
	
	
-1	1.362885
	
	
	
1	1.363357
	
	
	
-1	1.363469
	
	
	
-1	1.36754
	
	
	
-1	1.367541
	
	
	
-1	1.367541
	
	
	
-1	1.367541
	
	
	
-1	1.367541
	
	
	
-1	1.367541
	
	
	
-1	1.367542
	
	
	
-1	1.367542
	
	
	
-1	1.367542
	
	
	
-1	1.367542
	
	
	
-1	1.367542
	
	
	
